"","venue_name","match_id","match_home_team","match_away_team","match_date","match_local_time","match_attendance","match_round","match_home_team_goals","match_home_team_behinds","match_home_team_score","match_away_team_goals","match_away_team_behinds","match_away_team_score","match_margin","match_winner","match_weather_temp_c","match_weather_type","player_id","player_first_name","player_last_name","player_height_cm","player_weight_kg","player_is_retired","player_team","guernsey_number","kicks","marks","handballs","disposals","effective_disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","brownlow_votes","contested_possessions","uncontested_possessions","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","afl_fantasy_score","supercoach_score","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","hitout_win_percentage","intercept_marks","marks_on_lead","pressure_acts","rating_points","ruck_contests","score_launches","shots_at_goal","spoils","subbed","player_position","date"
"12","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12359,"Jake","Lever",194,0,FALSE,"Melbourne",8,9,6,3,12,10,83,0,0,0,0,3,2,0,3,0,1,0,1,12,0,0,5,0,0,100,48,NA,0,0,2,318,3,4,0,0,1,0,0,3,7,0,1,0,0,3,0,3,5.4,0,1,0,5,NA,"BPR",2024-03-07
"13","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12375,"Alex","Neal-Bullen",182,0,FALSE,"Melbourne",30,6,2,9,15,10,67,0,1,0,6,1,2,3,2,1,0,0,6,9,0,0,1,0,0,83,68,NA,1,2,1,139,3,2,3,0,0,0,0,12,2,3,5,0,0,0,0,20,9.2,0,1,1,1,NA,"FPL",2024-03-07
"14","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12401,"Ed","Langdon",182,0,FALSE,"Melbourne",15,10,4,9,19,10,53,1,0,0,3,3,5,0,4,1,0,0,9,12,0,2,0,0,0,90,79,NA,0,0,2,362,7,5,0,0,0,0,0,8,3,0,8,0,0,0,0,18,9.1,0,0,1,0,NA,"WL",2024-03-07
"15","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12411,"Clayton","Oliver",189,0,FALSE,"Melbourne",13,18,2,12,30,21,70,0,0,0,2,0,6,6,3,0,1,0,10,14,0,0,1,0,1,82,89,NA,2,4,5,417,6,2,1,0,0,0,0,7,10,3,9,0,0,0,0,25,16,0,1,0,0,NA,"R",2024-03-07
"16","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12419,"Tom","Papley",177,0,FALSE,"Sydney",11,15,4,5,20,13,65,1,1,0,3,1,4,3,1,1,0,0,10,9,0,2,3,0,0,81,87,NA,1,2,9,404,4,2,2,0,0,0,0,7,8,4,7,0,0,0,3,19,19,0,1,4,1,NA,"FPL",2024-03-07
"17","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12423,"Josh","Schache",199,0,FALSE,"Melbourne",19,3,2,1,4,1,25,0,2,1,2,0,0,0,1,1,0,0,2,3,0,1,3,0,0,76,29,NA,0,0,2,62,1,1,2,0,0,2,0,4,1,1,1,1,7.1,1,0,8,2.7,14,1,2,3,NA,"CHF",2024-03-07
"18","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12437,"Christian","Petracca",187,0,FALSE,"Melbourne",5,11,1,15,26,18,69,1,2,0,3,0,3,3,3,1,0,0,13,12,0,0,3,0,1,84,87,NA,2,1,8,326,4,5,2,0,0,1,0,3,5,4,11,0,0,0,0,15,18.6,0,3,4,1,NA,"C",2024-03-07
"19","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12501,"Oliver","Florent",184,0,FALSE,"Sydney",13,10,3,8,18,12,67,1,0,0,2,7,2,3,1,0,0,0,8,8,0,0,1,0,0,91,69,NA,0,3,1,374,6,5,0,0,0,0,0,11,6,0,7,0,0,0,0,14,12.2,0,0,1,1,NA,"CHB",2024-03-07
"20","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12515,"Robbie","Fox",185,0,FALSE,"Sydney",42,6,2,3,9,5,56,1,1,0,6,0,0,1,4,2,2,0,5,4,0,0,4,0,0,91,57,NA,0,1,2,90,5,1,4,0,0,3,0,4,3,2,3,0,0,0,0,20,4.4,0,0,3,3,NA,"FF",2024-03-07
"21","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12516,"Will","Hayward",186,0,FALSE,"Sydney",9,8,4,2,10,6,60,2,0,0,2,1,0,0,2,0,0,0,2,9,0,2,4,0,0,83,60,NA,0,0,3,195,3,0,1,0,1,0,0,1,5,2,2,0,0,0,2,12,9.6,0,0,4,3,NA,"FPR",2024-03-07
"22","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12533,"Lewis","Melican",194,0,FALSE,"Sydney",43,4,2,1,5,5,100,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,6,0,0,80,20,NA,0,0,2,47,0,5,0,0,0,0,0,2,4,0,1,0,0,2,0,2,6.6,0,2,0,4,NA,"BPL",2024-03-07
