"","Date","Season","Round","Venue","Player","Team","Opposition","Status","Match_id","GA","CP","UP","ED","DE","CM","MI5","One.Percenters","BO","TOG","K","HB","D","M","G","B","T","HO","I50","CL","CG","R50","FF","FA","AF","SC","CCL","SCL","SI","MG","TO","ITC","T5"
"1",2024-03-07,2024,"Round 0","SCG","Isaac Heeney","Sydney","Melbourne","Home",11174,1,18,10,18,69.2,0,1,4,0,79,17,9,26,5,1,1,7,0,8,13,2,2,2,0,121,144,4,9,12,619,2,4,1
"2",2024-03-07,2024,"Round 0","SCG","Nick Blakey","Sydney","Melbourne","Home",11174,2,6,16,18,69.2,1,0,6,6,78,18,8,26,9,0,0,0,0,6,0,2,7,2,0,99,117,0,0,4,529,3,6,0
"3",2024-03-07,2024,"Round 0","SCG","Chad Warner","Sydney","Melbourne","Home",11174,2,11,17,19,73.1,0,0,2,1,81,17,9,26,4,1,1,1,0,12,2,7,1,2,2,88,118,1,1,8,588,7,2,0
"4",2024-03-07,2024,"Round 0","SCG","Brodie Grundy","Sydney","Melbourne","Home",11174,0,15,7,10,43.5,2,0,4,0,78,12,11,23,4,0,0,6,33,5,9,9,1,3,4,118,139,2,7,7,254,6,5,0
"5",2024-03-07,2024,"Round 0","SCG","James Rowbottom","Sydney","Melbourne","Home",11174,0,14,8,12,57.1,0,0,1,0,79,12,9,21,0,0,2,7,0,5,6,4,2,2,3,77,94,1,5,4,343,7,5,2
"6",2024-03-07,2024,"Round 0","SCG","Tom Papley","Sydney","Melbourne","Home",11174,0,10,9,13,65,0,2,3,0,81,15,5,20,4,1,1,3,0,4,3,1,1,1,0,87,120,1,2,9,404,4,2,2
"7",2024-03-07,2024,"Round 0","SCG","Justin McInerney","Sydney","Melbourne","Home",11174,0,6,15,14,70,0,0,0,0,86,7,13,20,6,1,0,4,1,1,1,4,2,0,3,79,76,0,1,3,129,3,2,0
"8",2024-03-07,2024,"Round 0","SCG","Errol Gulden","Sydney","Melbourne","Home",11174,0,9,14,11,55,0,0,2,0,89,16,4,20,2,0,1,2,0,5,2,4,2,1,1,69,77,0,2,4,442,8,3,0
"9",2024-03-07,2024,"Round 0","SCG","Dane Rampe","Sydney","Melbourne","Home",11174,0,7,10,15,78.9,0,0,4,0,87,13,6,19,6,0,0,0,0,1,0,1,6,1,0,70,83,0,0,2,519,3,7,0
"10",2024-03-07,2024,"Round 0","SCG","Matthew Roberts","Sydney","Melbourne","Home",11174,0,1,13,18,94.7,0,0,1,0,84,16,3,19,8,0,0,3,0,1,0,1,3,1,0,91,76,0,0,1,260,2,3,0
"11",2024-03-07,2024,"Round 0","SCG","Harry Cunningham","Sydney","Melbourne","Home",11174,0,3,15,14,77.8,0,1,5,0,83,14,4,18,10,0,0,3,0,2,1,1,0,0,0,92,86,0,1,0,253,3,5,0
"12",2024-03-07,2024,"Round 0","SCG","Oliver Florent","Sydney","Melbourne","Home",11174,0,8,8,12,66.7,0,0,1,0,91,10,8,18,3,1,0,2,0,2,3,1,7,0,0,69,75,0,3,1,374,6,5,0
"13",2024-03-07,2024,"Round 0","SCG","James Jordon","Sydney","Melbourne","Home",11174,0,6,13,14,77.8,0,0,2,0,71,8,10,18,3,0,0,7,0,4,2,3,2,1,2,76,81,0,2,3,158,3,2,2
"14",2024-03-07,2024,"Round 0","SCG","Braeden Campbell","Sydney","Melbourne","Home",11174,0,3,15,12,75,0,0,1,0,68,12,4,16,7,0,0,2,0,5,1,2,2,1,0,74,53,0,1,2,378,4,4,0
"15",2024-03-07,2024,"Round 0","SCG","Jake Lloyd","Sydney","Melbourne","Home",11174,0,5,9,11,84.6,0,0,3,0,83,8,5,13,5,0,0,2,0,1,0,2,1,2,1,56,70,0,0,1,142,3,4,0
"16",2024-03-07,2024,"Round 0","SCG","Will Hayward","Sydney","Melbourne","Home",11174,0,2,9,6,60,0,2,4,0,83,8,2,10,4,2,0,2,0,0,0,2,1,0,0,60,83,0,0,3,195,3,0,1
"17",2024-03-07,2024,"Round 0","SCG","Robbie Fox","Sydney","Melbourne","Home",11174,0,5,4,5,55.6,0,0,4,0,91,6,3,9,2,1,1,6,0,0,1,4,0,2,2,57,50,0,1,2,90,5,1,4
"18",2024-03-07,2024,"Round 0","SCG","Tom McCartin","Sydney","Melbourne","Home",11174,0,4,6,7,77.8,1,0,4,0,97,7,2,9,7,0,0,0,0,0,0,3,1,0,0,46,47,0,0,1,91,1,6,0
"19",2024-03-07,2024,"Round 0","SCG","Logan McDonald","Sydney","Melbourne","Home",11174,0,4,4,4,50,2,1,2,0,83,5,3,8,3,1,0,1,0,2,0,3,0,0,1,37,30,0,0,5,189,2,1,0
"20",2024-03-07,2024,"Round 0","SCG","Lewis Melican","Sydney","Melbourne","Home",11174,0,1,2,5,100,0,0,6,0,80,4,1,5,2,0,0,0,0,0,0,0,1,0,0,20,30,0,0,2,47,0,5,0
"21",2024-03-07,2024,"Round 0","SCG","Hayden McLean","Sydney","Melbourne","Home",11174,0,4,1,3,60,1,1,7,0,76,4,1,5,2,2,2,2,10,1,0,5,0,0,4,40,44,0,0,4,150,1,2,0
"22",2024-03-07,2024,"Round 0","SCG","Sam Wicks  ↙","Sydney","Melbourne","Home",11174,0,4,1,5,100,1,1,0,0,30,2,3,5,2,1,0,1,0,0,1,1,0,0,1,25,37,0,1,3,47,0,1,0
"23",2024-03-07,2024,"Round 0","SCG","Joel Amartey  ↗","Sydney","Melbourne","Home",11174,0,0,2,0,0,0,0,1,0,43,3,0,3,1,0,1,2,2,0,0,1,0,0,0,23,7,0,0,1,78,2,0,1
"24",2024-03-07,2024,"Round 0","SCG","Jack Viney","Melbourne","Sydney","Away",11174,1,14,17,21,70,0,0,2,0,79,19,11,30,2,2,0,7,0,9,7,7,1,4,2,123,138,3,4,7,625,9,3,4
"25",2024-03-07,2024,"Round 0","SCG","Clayton Oliver","Melbourne","Sydney","Away",11174,1,10,14,21,70,0,0,1,0,82,18,12,30,2,0,0,2,0,6,6,3,0,0,1,89,90,2,4,5,417,6,2,1
"26",2024-03-07,2024,"Round 0","SCG","Christian Salem","Melbourne","Sydney","Away",11174,0,15,12,15,55.6,0,0,0,0,80,20,7,27,5,0,0,3,0,5,5,6,4,0,2,95,93,1,4,1,558,6,4,0
"27",2024-03-07,2024,"Round 0","SCG","Christian Petracca","Melbourne","Sydney","Away",11174,1,13,12,18,69.2,0,0,3,0,84,11,15,26,1,1,2,3,0,3,3,3,0,1,0,87,108,2,1,8,326,4,5,2
"28",2024-03-07,2024,"Round 0","SCG","Steven May","Melbourne","Sydney","Away",11174,0,7,10,18,85.7,1,0,9,0,90,14,7,21,5,0,0,2,0,2,0,1,7,2,0,81,115,0,0,1,347,2,9,0
"29",2024-03-07,2024,"Round 0","SCG","Judd McVee","Melbourne","Sydney","Away",11174,1,8,11,16,80,0,0,2,0,78,14,6,20,6,0,0,0,0,1,3,2,9,1,0,73,95,0,3,3,390,4,4,0
"30",2024-03-07,2024,"Round 0","SCG","Ed Langdon","Melbourne","Sydney","Away",11174,0,9,12,10,52.6,0,2,0,0,90,10,9,19,4,1,0,3,0,5,0,4,3,1,0,79,67,0,0,2,362,7,5,0
"31",2024-03-07,2024,"Round 0","SCG","Trent Rivers","Melbourne","Sydney","Away",11174,0,4,12,11,64.7,0,0,2,0,80,10,7,17,4,0,0,0,0,3,1,4,2,0,1,53,48,1,0,1,304,4,5,0
"32",2024-03-07,2024,"Round 0","SCG","Blake Howes","Melbourne","Sydney","Away",11174,0,9,9,14,82.4,0,0,4,0,74,9,8,17,7,0,0,3,0,1,0,3,5,1,1,74,91,0,0,0,224,4,12,0
"33",2024-03-07,2024,"Round 0","SCG","Alex N-Bullen","Melbourne","Sydney","Away",11174,0,6,9,10,66.7,0,0,1,0,83,6,9,15,2,0,1,6,0,2,3,2,1,1,0,68,80,1,2,1,139,3,2,3
"34",2024-03-07,2024,"Round 0","SCG","Max Gawn","Melbourne","Sydney","Away",11174,0,9,8,9,64.3,0,0,0,0,82,8,6,14,1,0,1,4,37,0,2,6,2,6,4,87,72,0,2,3,38,2,3,1
"35",2024-03-07,2024,"Round 0","SCG","Jake Bowey","Melbourne","Sydney","Away",11174,0,1,9,11,78.6,0,0,1,0,48,13,1,14,3,0,0,1,0,0,0,1,6,0,0,54,53,0,0,0,251,2,1,0
"36",2024-03-07,2024,"Round 0","SCG","Tom Sparrow","Melbourne","Sydney","Away",11174,0,9,8,12,92.3,0,0,1,0,80,3,10,13,2,0,0,9,0,2,3,6,1,1,3,63,70,1,2,3,103,2,4,0
"37",2024-03-07,2024,"Round 0","SCG","Caleb Windsor","Melbourne","Sydney","Away",11174,1,6,8,8,61.5,0,0,2,0,81,6,7,13,0,0,0,4,0,0,1,2,0,0,1,45,58,1,0,4,117,1,3,0
"38",2024-03-07,2024,"Round 0","SCG","Adam Tomlinson","Melbourne","Sydney","Away",11174,0,7,3,9,75,2,0,9,0,100,10,2,12,3,0,0,2,0,0,0,0,7,2,0,53,86,0,0,1,267,2,8,0
"39",2024-03-07,2024,"Round 0","SCG","Jake Lever","Melbourne","Sydney","Away",11174,0,1,12,10,83.3,0,0,5,0,100,9,3,12,6,0,0,0,0,2,0,3,3,0,1,48,54,0,0,2,318,3,4,0
"40",2024-03-07,2024,"Round 0","SCG","Charlie Spargo","Melbourne","Sydney","Away",11174,0,2,10,9,75,0,0,0,1,77,5,7,12,1,0,1,2,0,3,0,3,0,1,2,36,36,0,0,3,134,4,0,2
"41",2024-03-07,2024,"Round 0","SCG","Kade Chandler","Melbourne","Sydney","Away",11174,0,5,6,9,81.8,0,0,2,0,82,4,7,11,2,0,0,3,0,3,0,3,0,0,0,44,52,0,0,2,145,2,2,3
"42",2024-03-07,2024,"Round 0","SCG","Jacob Van Rooyen","Melbourne","Sydney","Away",11174,0,2,7,9,90,0,0,1,0,83,3,7,10,2,1,0,3,0,1,0,2,0,1,1,45,34,0,0,1,110,2,1,2
"43",2024-03-07,2024,"Round 0","SCG","Bailey Laurie  ↗","Melbourne","Sydney","Away",11174,0,2,6,5,62.5,0,0,0,0,42,3,5,8,1,0,0,1,0,3,0,1,1,0,0,26,20,0,0,1,77,2,0,0
"44",2024-03-07,2024,"Round 0","SCG","Bayley Fritsch","Melbourne","Sydney","Away",11174,0,1,6,5,83.3,0,2,1,0,92,6,0,6,2,4,1,3,0,0,0,2,0,1,1,59,68,0,0,5,183,1,0,3
"45",2024-03-07,2024,"Round 0","SCG","Josh Schache","Melbourne","Sydney","Away",11174,0,2,3,1,25,0,1,3,0,76,3,1,4,2,0,2,2,1,0,0,1,0,1,0,29,27,0,0,2,62,1,1,2
"46",2024-03-07,2024,"Round 0","SCG","Jack Billings  ↙","Melbourne","Sydney","Away",11174,0,3,2,0,0,0,0,1,0,38,1,1,2,0,0,0,2,0,0,0,2,0,0,1,10,11,0,0,1,37,2,0,1
"47",2024-03-08,2024,"Round 0","Gabba","Lachie Neale","Brisbane","Carlton","Home",11175,1,13,12,19,76,0,0,0,0,79,9,16,25,2,0,0,2,0,5,5,1,0,2,0,75,112,2,3,6,211,2,5,0
"48",2024-03-08,2024,"Round 0","Gabba","Josh Dunkley","Brisbane","Carlton","Home",11175,0,9,13,14,66.7,0,0,1,0,82,11,10,21,5,0,0,9,0,4,2,3,1,0,0,104,101,1,1,4,293,4,8,4
"49",2024-03-08,2024,"Round 0","Gabba","Darcy Wilmot","Brisbane","Carlton","Home",11175,0,6,9,14,66.7,0,0,2,2,82,17,4,21,3,0,0,1,0,4,2,4,5,1,1,70,76,0,2,3,522,6,6,0
"50",2024-03-08,2024,"Round 0","Gabba","Jarryd Lyons","Brisbane","Carlton","Home",11175,1,7,11,15,78.9,0,0,0,0,70,10,9,19,5,0,0,9,0,2,1,3,0,1,2,94,106,1,0,6,258,2,2,0
"51",2024-03-08,2024,"Round 0","Gabba","Dayne Zorko","Brisbane","Carlton","Home",11175,1,5,13,16,84.2,0,1,0,0,76,12,7,19,7,2,0,6,0,3,0,3,1,1,1,105,105,0,0,7,292,2,3,1
"52",2024-03-08,2024,"Round 0","Gabba","Hugh McCluggage","Brisbane","Carlton","Home",11175,0,4,13,15,83.3,0,1,0,0,83,12,6,18,4,1,0,2,0,4,2,3,2,0,2,68,83,1,1,4,362,3,2,0
"53",2024-03-08,2024,"Round 0","Gabba","Jarrod Berry","Brisbane","Carlton","Home",11175,0,6,11,7,41.2,0,0,1,0,77,11,6,17,5,0,0,0,0,5,1,3,2,0,0,60,44,0,1,4,294,6,6,0
"54",2024-03-08,2024,"Round 0","Gabba","Callum Ah Chee","Brisbane","Carlton","Home",11175,0,5,11,12,75,1,0,1,0,78,11,5,16,6,1,0,3,0,1,2,6,1,0,1,76,74,1,1,3,331,6,2,0
"55",2024-03-08,2024,"Round 0","Gabba","Ryan Lester","Brisbane","Carlton","Home",11175,0,4,9,12,80,0,0,2,0,87,12,3,15,6,0,0,2,0,1,1,3,3,0,0,68,73,0,1,2,255,2,6,0
"56",2024-03-08,2024,"Round 0","Gabba","Harris Andrews","Brisbane","Carlton","Home",11175,0,7,7,13,86.7,2,0,12,0,96,12,3,15,7,0,0,2,0,1,0,2,7,2,0,73,118,0,0,2,280,3,9,0
"57",2024-03-08,2024,"Round 0","Gabba","Cameron Rayner","Brisbane","Carlton","Home",11175,0,7,8,11,73.3,0,1,0,0,87,8,7,15,2,1,0,6,0,1,5,4,2,0,0,74,68,2,3,5,233,4,1,1
"58",2024-03-08,2024,"Round 0","Gabba","Zac Bailey","Brisbane","Carlton","Home",11175,0,8,8,13,86.7,1,1,2,0,77,12,3,15,4,1,0,5,0,6,4,2,1,1,0,81,81,2,2,8,319,3,3,2
"59",2024-03-08,2024,"Round 0","Gabba","Joe Daniher","Brisbane","Carlton","Home",11175,1,5,9,7,50,1,1,2,0,95,11,3,14,5,1,2,0,3,6,1,4,0,0,2,59,57,0,1,8,433,3,0,0
"60",2024-03-08,2024,"Round 0","Gabba","Lincoln McCarthy","Brisbane","Carlton","Home",11175,0,4,9,7,53.8,1,3,1,0,81,10,3,13,6,2,3,2,0,2,1,3,1,1,2,72,63,0,1,10,300,2,0,1
"61",2024-03-08,2024,"Round 0","Gabba","Oscar McInerney","Brisbane","Carlton","Home",11175,0,14,0,5,38.5,0,0,2,0,79,9,4,13,0,0,0,6,26,4,8,7,1,3,2,82,77,4,4,3,312,4,2,1
"62",2024-03-08,2024,"Round 0","Gabba","Darcy Gardiner","Brisbane","Carlton","Home",11175,1,6,5,11,100,0,1,1,0,76,3,8,11,2,0,0,2,0,1,0,3,1,0,1,36,57,0,0,8,140,4,2,1
"63",2024-03-08,2024,"Round 0","Gabba","Charlie Cameron","Brisbane","Carlton","Home",11175,0,6,4,4,40,2,3,0,0,89,8,2,10,3,2,3,3,0,2,1,3,0,2,2,60,64,1,0,5,182,5,0,0
"64",2024-03-08,2024,"Round 0","Gabba","Jaspa Fletcher","Brisbane","Carlton","Home",11175,0,2,8,9,90,0,0,0,0,81,3,7,10,5,0,0,1,0,1,0,2,2,0,1,39,43,0,0,2,159,1,2,1
"65",2024-03-08,2024,"Round 0","Gabba","Eric Hipwood","Brisbane","Carlton","Home",11175,0,5,6,4,44.4,1,2,0,0,83,9,0,9,6,1,2,1,0,5,0,3,0,2,1,56,51,0,0,4,255,5,2,1
"66",2024-03-08,2024,"Round 0","Gabba","Brandon Starcevich","Brisbane","Carlton","Home",11175,0,3,4,7,87.5,0,0,1,0,78,7,1,8,1,0,0,0,0,1,1,1,3,0,0,26,41,0,1,1,153,2,3,0
"67",2024-03-08,2024,"Round 0","Gabba","Keidean Coleman  ↗","Brisbane","Carlton","Home",11175,2,2,6,7,87.5,0,1,0,0,44,6,2,8,4,0,0,0,0,2,0,0,1,0,0,34,37,0,0,4,141,0,2,0
"68",2024-03-08,2024,"Round 0","Gabba","Kai Lohmann  ↙","Brisbane","Carlton","Home",11175,0,1,5,5,83.3,0,1,1,0,36,4,2,6,4,0,0,0,0,1,0,1,1,0,0,28,33,0,0,3,134,0,0,0
"69",2024-03-08,2024,"Round 0","Gabba","Jack Payne","Brisbane","Carlton","Home",11175,0,4,2,2,40,1,0,4,0,85,4,1,5,2,0,0,1,0,0,0,2,1,0,2,18,29,0,0,0,-11,1,3,1
"70",2024-03-08,2024,"Round 0","Gabba","George Hewett","Carlton","Brisbane","Away",11175,0,13,15,19,70.4,0,0,0,0,77,15,12,27,4,0,0,5,0,4,5,5,2,2,1,100,106,1,4,5,409,6,3,1
"71",2024-03-08,2024,"Round 0","Gabba","Adam Cerra","Carlton","Brisbane","Away",11175,1,14,10,17,68,0,0,1,0,79,11,14,25,1,0,0,4,0,2,7,5,0,0,1,77,92,2,5,4,323,6,3,1
"72",2024-03-08,2024,"Round 0","Gabba","Patrick Cripps","Carlton","Brisbane","Away",11175,0,10,13,17,73.9,0,1,0,0,79,8,15,23,3,1,0,2,2,3,2,4,0,2,1,78,84,2,0,1,239,1,3,0
"73",2024-03-08,2024,"Round 0","Gabba","Blake Acres","Carlton","Brisbane","Away",11175,1,11,12,17,77.3,1,0,2,0,82,12,10,22,6,0,0,0,0,3,5,2,1,1,2,69,101,1,4,7,331,1,6,0
"74",2024-03-08,2024,"Round 0","Gabba","Zachary Williams","Carlton","Brisbane","Away",11175,0,5,12,15,78.9,0,0,1,0,80,17,2,19,4,0,0,2,0,1,1,4,4,0,2,69,73,0,1,1,375,4,4,0
"75",2024-03-08,2024,"Round 0","Gabba","Mitch McGovern","Carlton","Brisbane","Away",11175,0,4,9,14,82.4,0,0,5,0,80,14,3,17,8,0,1,4,0,1,2,1,1,1,0,90,94,1,1,6,339,1,7,0
"76",2024-03-08,2024,"Round 0","Gabba","Nic Newman","Carlton","Brisbane","Away",11175,1,3,13,10,62.5,0,0,5,0,84,15,1,16,8,0,0,3,0,4,0,3,5,0,0,83,93,0,0,3,402,5,3,0
"77",2024-03-08,2024,"Round 0","Gabba","Jordan Boyd","Carlton","Brisbane","Away",11175,0,2,14,14,87.5,0,0,6,0,80,14,2,16,6,0,0,3,0,1,0,4,5,1,1,74,87,0,0,2,362,4,4,0
"78",2024-03-08,2024,"Round 0","Gabba","Adam Saad","Carlton","Brisbane","Away",11175,0,4,7,13,86.7,1,0,1,2,79,9,6,15,6,0,0,1,0,0,0,2,7,1,1,59,69,0,0,1,283,2,7,0
"79",2024-03-08,2024,"Round 0","Gabba","Lewis Young","Carlton","Brisbane","Away",11175,0,6,7,10,66.7,1,0,7,0,100,13,2,15,6,0,0,0,0,0,1,1,11,0,0,61,90,0,1,1,431,6,7,0
"80",2024-03-08,2024,"Round 0","Gabba","Brodie Kemp","Carlton","Brisbane","Away",11175,0,8,8,12,80,0,0,7,0,98,6,9,15,3,0,0,1,0,1,0,2,5,1,1,47,70,0,0,1,137,3,8,0
"81",2024-03-08,2024,"Round 0","Gabba","Matt Cottrell","Carlton","Brisbane","Away",11175,0,5,8,10,71.4,1,0,0,0,88,9,5,14,4,1,0,0,0,3,0,2,0,0,2,49,62,0,0,3,299,6,3,0
"82",2024-03-08,2024,"Round 0","Gabba","Harry McKay","Carlton","Brisbane","Away",11175,1,10,6,10,76.9,4,4,4,0,94,9,4,13,7,3,1,2,1,2,2,3,0,1,1,82,130,2,0,8,254,1,0,0
"83",2024-03-08,2024,"Round 0","Gabba","Lachlan Fogarty","Carlton","Brisbane","Away",11175,2,6,7,8,61.5,0,0,0,0,81,5,8,13,2,1,0,9,0,4,0,1,0,2,0,81,80,0,0,5,182,2,3,5
"84",2024-03-08,2024,"Round 0","Gabba","David Cuningham","Carlton","Brisbane","Away",11175,0,6,6,9,75,0,0,0,0,75,5,7,12,2,1,2,5,0,3,3,1,0,1,0,64,74,0,3,4,251,1,1,3
"85",2024-03-08,2024,"Round 0","Gabba","Orazio Fantasia","Carlton","Brisbane","Away",11175,2,3,7,5,45.5,0,0,0,0,71,4,7,11,1,0,0,1,0,2,0,2,0,0,0,33,35,0,0,3,131,2,1,0
"86",2024-03-08,2024,"Round 0","Gabba","Charlie Curnow","Carlton","Brisbane","Away",11175,0,5,5,8,72.7,3,1,3,0,90,11,0,11,5,4,0,0,0,4,0,3,2,0,0,72,75,0,0,6,312,2,2,0
"87",2024-03-08,2024,"Round 0","Gabba","Tom De Koning","Carlton","Brisbane","Away",11175,0,7,3,8,72.7,2,0,1,0,80,5,6,11,2,0,0,3,24,2,2,4,1,1,2,64,64,0,2,3,126,1,1,1
"88",2024-03-08,2024,"Round 0","Gabba","Sam Docherty  ↗","Carlton","Brisbane","Away",11175,0,2,9,6,60,0,0,1,0,35,9,1,10,5,0,0,1,0,1,0,3,4,0,0,48,25,0,0,2,314,5,1,0
"89",2024-03-08,2024,"Round 0","Gabba","Matthew Kennedy","Carlton","Brisbane","Away",11175,0,6,4,7,70,0,1,1,0,80,6,4,10,2,1,0,2,1,2,2,2,0,3,1,47,59,1,1,2,169,3,1,0
"90",2024-03-08,2024,"Round 0","Gabba","Jack Carroll  ↙","Carlton","Brisbane","Away",11175,0,6,4,8,80,0,0,0,0,35,7,3,10,1,1,0,2,0,2,4,1,1,1,0,45,65,1,3,2,231,2,1,0
"91",2024-03-08,2024,"Round 0","Gabba","Matt Owies","Carlton","Brisbane","Away",11175,0,3,5,7,87.5,0,0,1,0,72,6,2,8,2,0,0,1,0,1,0,1,0,2,0,34,37,0,0,5,86,4,1,1
"92",2024-03-08,2024,"Round 0","Gabba","Oliver Hollands","Carlton","Brisbane","Away",11175,0,2,7,5,62.5,0,0,0,0,83,6,2,8,3,0,0,8,0,3,0,3,1,0,0,63,41,0,0,0,123,1,0,3
"93",2024-03-09,2024,"Round 0","People First Stadium","Matt Rowell","Gold Coast","Richmond","Home",11176,0,26,8,21,63.6,0,0,2,0,84,19,14,33,1,0,0,5,0,3,20,5,3,4,0,112,137,10,10,9,463,7,2,0
"94",2024-03-09,2024,"Round 0","People First Stadium","Touk Miller","Gold Coast","Richmond","Home",11176,1,7,21,21,75,0,1,1,0,82,18,10,28,6,0,1,4,0,7,2,3,3,1,0,110,116,0,2,8,481,5,2,0
"95",2024-03-09,2024,"Round 0","People First Stadium","Wil Powell","Gold Coast","Richmond","Home",11176,0,4,20,23,82.1,0,0,2,2,86,20,8,28,9,0,0,1,0,3,0,2,4,2,1,106,123,0,0,6,555,5,11,0
"96",2024-03-09,2024,"Round 0","People First Stadium","Sam Flanders","Gold Coast","Richmond","Home",11176,1,9,18,17,65.4,0,0,3,0,77,15,11,26,4,0,0,3,0,7,2,3,1,1,0,92,124,1,1,5,435,6,7,0
"97",2024-03-09,2024,"Round 0","People First Stadium","Noah Anderson","Gold Coast","Richmond","Home",11176,1,13,14,19,76,0,0,1,3,82,16,9,25,9,0,1,1,0,6,8,3,3,1,0,99,122,2,6,7,486,5,1,1
"98",2024-03-09,2024,"Round 0","People First Stadium","Alex Sexton","Gold Coast","Richmond","Home",11176,0,4,17,15,71.4,0,0,2,0,78,12,9,21,8,0,0,1,0,2,1,5,2,1,1,80,73,1,0,5,330,5,5,0
"99",2024-03-09,2024,"Round 0","People First Stadium","Connor Budarick","Gold Coast","Richmond","Home",11176,0,3,15,17,81,0,0,2,0,84,18,3,21,8,0,0,1,0,0,0,3,5,0,0,88,94,0,0,1,423,4,5,0
"100",2024-03-09,2024,"Round 0","People First Stadium","Brayden Fiorini","Gold Coast","Richmond","Home",11176,0,3,14,17,89.5,0,0,1,0,88,12,7,19,8,2,0,3,0,3,0,1,2,0,0,98,101,0,0,6,307,2,7,1
"101",2024-03-09,2024,"Round 0","People First Stadium","David Swallow","Gold Coast","Richmond","Home",11176,1,4,11,10,62.5,1,0,2,0,79,12,4,16,6,0,0,1,0,5,0,4,2,0,2,60,57,0,0,2,347,3,5,0
"102",2024-03-09,2024,"Round 0","People First Stadium","Jarrod Witts","Gold Coast","Richmond","Home",11176,0,12,2,9,64.3,2,0,1,0,77,11,3,14,3,0,1,2,22,5,8,4,0,1,1,77,110,4,4,6,333,5,4,0
"103",2024-03-09,2024,"Round 0","People First Stadium","Samuel Collins","Gold Coast","Richmond","Home",11176,0,8,7,11,78.6,0,0,15,0,95,6,8,14,6,0,0,1,0,0,1,1,0,0,1,53,102,0,1,2,152,0,7,0
"104",2024-03-09,2024,"Round 0","People First Stadium","Charlie Ballard","Gold Coast","Richmond","Home",11176,0,6,9,11,78.6,3,0,9,0,95,12,2,14,9,0,0,1,0,1,1,3,2,0,1,68,97,0,1,2,136,3,5,0
"105",2024-03-09,2024,"Round 0","People First Stadium","Ben Ainsworth","Gold Coast","Richmond","Home",11176,2,2,11,7,53.8,0,3,0,0,83,9,4,13,6,0,1,0,0,2,0,2,0,1,0,55,69,0,0,5,197,2,0,0
"106",2024-03-09,2024,"Round 0","People First Stadium","Nicholas Holman","Gold Coast","Richmond","Home",11176,1,7,6,9,69.2,0,0,1,0,79,8,5,13,4,1,1,2,0,4,0,1,0,0,0,61,75,0,0,7,169,2,2,2
"107",2024-03-09,2024,"Round 0","People First Stadium","Malcolm Rosas","Gold Coast","Richmond","Home",11176,1,1,12,7,53.8,0,5,1,0,63,9,4,13,5,3,2,1,0,0,0,3,0,1,0,75,76,0,0,9,199,2,1,1
"108",2024-03-09,2024,"Round 0","People First Stadium","Brandon Ellis  ↗","Gold Coast","Richmond","Home",11176,0,2,9,6,50,0,0,1,0,75,10,2,12,4,0,0,3,0,3,0,3,0,0,0,58,48,0,0,3,220,3,1,0
"109",2024-03-09,2024,"Round 0","People First Stadium","Jack Lukosius","Gold Coast","Richmond","Home",11176,1,4,7,8,80,1,2,3,0,85,9,1,10,6,3,0,1,3,3,1,2,1,0,1,69,93,0,1,7,278,0,0,0
"110",2024-03-09,2024,"Round 0","People First Stadium","Ben King","Gold Coast","Richmond","Home",11176,0,6,4,7,70,2,5,0,0,88,8,2,10,6,5,1,0,0,0,0,1,0,2,0,79,107,0,0,7,184,2,0,0
"111",2024-03-09,2024,"Round 0","People First Stadium","Levi Casboult","Gold Coast","Richmond","Home",11176,1,4,4,5,55.6,2,1,2,0,86,5,4,9,2,0,0,2,3,1,0,2,0,0,2,34,38,0,0,2,137,1,0,0
"112",2024-03-09,2024,"Round 0","People First Stadium","Bailey Humphrey","Gold Coast","Richmond","Home",11176,0,5,6,7,77.8,0,0,2,0,75,1,8,9,2,0,0,2,0,1,0,4,0,0,4,21,38,0,0,6,34,2,0,0
"113",2024-03-09,2024,"Round 0","People First Stadium","Bodhi Uwland","Gold Coast","Richmond","Home",11176,0,4,5,6,75,0,0,5,0,82,4,4,8,3,0,0,0,0,1,0,2,2,0,1,26,41,0,0,2,157,2,4,0
"114",2024-03-09,2024,"Round 0","People First Stadium","Thomas Berry","Gold Coast","Richmond","Home",11176,1,3,5,4,66.7,0,1,3,0,60,6,0,6,3,0,1,3,0,4,0,0,0,1,0,41,62,0,0,4,268,0,0,1
"115",2024-03-09,2024,"Round 0","People First Stadium","Darcy Macpherson  ↙","Gold Coast","Richmond","Home",11176,0,2,0,2,100,0,0,0,0,15,0,2,2,0,0,0,1,0,0,0,0,0,0,0,8,15,0,0,1,-9,0,0,0
"116",2024-03-09,2024,"Round 0","People First Stadium","Jayden Short","Richmond","Gold Coast","Away",11176,0,4,12,22,95.7,1,0,2,0,84,20,3,23,7,0,0,4,0,1,1,1,11,0,0,103,130,0,1,0,643,7,5,0
"117",2024-03-09,2024,"Round 0","People First Stadium","Jacob Hopper","Richmond","Gold Coast","Away",11176,0,13,10,12,52.2,0,1,0,0,79,14,9,23,6,2,0,2,0,2,3,5,2,3,2,95,97,1,2,3,387,4,3,1
"118",2024-03-09,2024,"Round 0","People First Stadium","Nick Vlastuin","Richmond","Gold Coast","Away",11176,0,7,9,17,85,2,0,3,0,82,18,2,20,9,0,0,1,0,1,0,3,7,0,1,86,118,0,0,1,608,3,12,0
